UG;Kd-Nr.;Name;PLZ;Ort;VVJ;VJ;AJ;VK;VT;Gruppe;UK;P;SP 1;SP 2;letzter Besuch;letztes Telefonat
233;117.052;mvexbraiayzqnni;;Bedburg;13838,83515;10106,7596;7017,743764;;;;;;;;;
233;117.239;ln;;Ennepetal;50194,83743;4745,43511;2841,409054;;;;;;;;;
231;331.751;vcmdjrtdrlojd;;Mutterstadt;427,0459646;3924,508228;13871,47126;;;;;;;;;
171;107.842;qbqxhywfd;;Saarbrücken;1691,244266;2713,479422;14670,41717;;;;;;;;;
233;132.753;ilx;;Bernburg;4979,901378;40,25331486;3101,556334;;;;;;;;;
231;116.357;fzrvq;;Nürnberg;938,4148726;19513,14272;1809,346945;;;;;;;;;
233;103.919;ryuvfvqbaez;;Osnabrück;318,0690581;1088,253749;1606,129765;;;;;;;;;
121;331.083;piyhcocdr;;Lotte;4026,561351;6943,133955;1779,566421;;;;;;;;;
101;102.134;pjpcyclgmrsdzrf;;Saarbrücken;13265,09482;26151,75292;5107,629296;;;;;;;;;
241;132.954;gpsottfq;;Mönchengladbach;5996,447479;7569,406523;5579,170828;;;;;;;;;
233;113.701;gsbiaopndarljcbb;;Dortmund;7762,094869;1292,706637;12296,54314;;;;;;;;;
161;331.611;fsosqayyufvclmwj;;Augsburg;24078,79381;26900,54305;10531,872;;;;;;;;;
101;252.536;abatom;;Mönchengladbach;9184,109997;7928,148645;12157,18412;;;;;;;;;
101;111.804;eivpvpqg;;Lübeck;2961,023777;33154,9688;13214,80359;;;;;;;;;
101;131.778;ivahlyqsjjllgzhddl;;Essen;38003,90487;35286,88331;4955,508928;;;;;;;;;
101;131.757;jort;;73 Tokyo / Japan;25759,03049;28053,41674;7370,061688;;;;;;;;;
231;115.153;uzahquzhp;;Straubing;25821,88804;23283,64139;3913,600288;;;;;;;;;
233;130.166;y;;Orsingen-Nenzingen;3614,549869;14000,98084;4874,950082;;;;;;;;;
101;113.053;gnyueeyrwhskvx;;Hermeskeil;5522,740105;15812,0203;3467,960404;;;;;;;;;
101;107.078;zya;;Darmstadt;3280,155626;12693,29487;9924,609869;;;;;;;;;
231;331.642;hmiahkx;;Paderborn;5699,004492;6208,517591;15153,81339;;;;;;;;;
101;131.631;qrhkfinhvns;;Hanau;12440,56413;7907,958925;964,8372545;;;;;;;;;
101;115.123;jz;;Schwäbisch Gmünd;306,4894607;4398,260571;7238,61521;;;;;;;;;
101;132.056;lvd;;Attendorn;12771,85552;4430,50614;5763,378244;;;;;;;;;
161;331.747;jpjncnqbxjjpsetv;;Buchholz;585,0435097;561,6183411;1577,041017;;;;;;;;;
141;331.565;xxwc;;Wirges;3759,048633;41,12941811;4103,990427;;;;;;;;;
101;124.454;oylmif;;Leverkusen;7789,086354;2658,144647;5782,865536;;;;;;;;;
101;102.917;zeebygqyqbwliusew;;Bückeburg;12872,35199;35623,18004;7826,817868;;;;;;;;;
234;331.642;hmiahkx;;Schrozberg;2010,900195;8383,799031;15034,93782;;;;;;;;;
231;130.166;y;;Freilassing;12523,09889;3835,719374;8019,936096;;;;;;;;;
161;331.083;piyhcocdr;;Trier;23435,88592;19809,2656;6396,793095;;;;;;;;;
101;101.321;tlpigwpzvvvlk;;München;17153,50079;22805,23231;9214,922739;;;;;;;;;
101;253.010;ltp;;Erl;10883,52919;18277,99982;1550,679567;;;;;;;;;
241;102.149;wdjbdp;;Anklam;1866,14125;38,28910578;10174,11723;;;;;;;;;
161;119.152;jowptdowczabw;;Delmenhorst;1006,849907;838,6939235;6071,477301;;;;;;;;;
101;108.926;b;;Salzgitter;8505,408458;1567,169366;7361,97491;;;;;;;;;
101;121.114;fzqnrnjd;;Königstein;13402,5676;4611,26169;6625,320989;;;;;;;;;
101;112.656;al;;Euskirchen;2876,963869;12191,2368;5311,177961;;;;;;;;;
161;331.745;sk;;Simbach am Inn;464,5216212;2963,600857;3233,178725;;;;;;;;;
161;331.061;uylzhkpuprxzdliz;;München;22581,56218;1774,199579;11065,67776;;;;;;;;;
241;107.161;foabebsytndmx;;Brno;7169,256541;5569,376289;16348,81436;;;;;;;;;
101;113.567;oxhopwwfuanhwybnbb;;Nürnberg;7618,755047;16783,18237;6600,454269;;;;;;;;;
161;331.749;pqror;;Braunschweig;2959,244683;2949,95191;5507,076673;;;;;;;;;
201;417.650;tglhralctlcp;;Leipzig;22744,75519;24938,04735;7136,46586;;;;;;;;;
161;331.746;tlvkzepfao;;Bad Marienberg;927,6845561;4123,249657;8523,919753;;;;;;;;;
161;331.753;hxnghgpkahrmxsh;;Oschersleben;160,762574;586,0101836;11416,25427;;;;;;;;;
101;112.935;cnctlrslepcwvj;;Landsweiler;23537,67665;16711,99433;4988,642089;;;;;;;;;
101;118.935;jspridrwffrj;;Wittmund;3873,479739;3349,14691;9217,460371;;;;;;;;;
331;331.454;ylwwenwkdoyy;;Schwelm;2014,075131;16388,65443;12256,18552;;;;;;;;;
101;114.755;bmmj;;Bonn;9337,958761;2679,20481;592,4295099;;;;;;;;;
233;211.102;eqzkvaagmcnypbqh;;Berlin;285,4861481;16470,63065;7662,417179;;;;;;;;;
161;339.002;ybop;;Remscheid;423,0705086;6261,007362;10848,21976;;;;;;;;;
101;109.419;rkhfgekfunnkm;;Niederzier;17936,4612;13023,18938;8065,328261;;;;;;;;;
121;331.014;hqpuyr;;Köln;22875,13636;25416,38601;14703,68769;;;;;;;;;
101;250.074;udkwwhruglzdzypc;;Eicklingen;20132,0783;20514,89713;4371,152027;;;;;;;;;
101;116.809;ugasrpabww;;Aschersleben;18307,10993;20481,51383;9179,973725;;;;;;;;;
101;250.260;wqgoqntcga;;Schiffdorf;31811,56741;7330,363652;3636,277628;;;;;;;;;
121;331.400;riinevuuagm;;Neumünster;19747,29914;13790,18114;3249,267593;;;;;;;;;
161;331.704;hegbbtko;;Meersburg;8431,332387;1569,858682;4500,833121;;;;;;;;;
233;112.783;xqltaxavotroilys;;Diemelsee;1941,200574;583,498963;15212,87719;;;;;;;;;
233;116.900;djjlv;;Menden;1348,941326;3009,874316;5983,504388;;;;;;;;;
111;331.660;uuelrxpqfin;;Feucht;30022,93503;25959,19572;198,6953621;;;;;;;;;
101;101.021;ngwpnzjtulr;;Herborn;12640,83227;14852,69999;2048,27759;;;;;;;;;
101;112.811;xmvvyrgvagdse;;Rheinbach;8565,236285;10729,44536;7151,04643;;;;;;;;;
101;101.862;kxlyeketnlivpi;;Wuppertal;19296,54569;19085,67803;1286,074263;;;;;;;;;
233;331.086;fv;;Mönchengladbach;29908,20558;2281,897497;1312,505942;;;;;;;;;
233;104.377;toldu;;Neustadt;4545,615725;2543,15432;7939,357058;;;;;;;;;
161;210.641;smezvxrbigdewufn;;Kleve;21079,9007;3397,246652;12507,79076;;;;;;;;;
101;126.637;swvfszyfmfczmlwchk;;Vögelsen;13242,59314;1238,249697;2372,026787;;;;;;;;;
101;116.884;vwofmghfcegspxnj;;Speyer;1427,668131;30027,12262;13104,15377;;;;;;;;;
233;132.275;uxvlez;;Wörthsee;889,8840832;4860,074386;209,3986736;;;;;;;;;
101;416.187;qemvxjbwseqewf;;Obernkirchen;20536,1907;18074,55823;2183,196647;;;;;;;;;
101;101.097;qdnngyexuiblbcmqp;;Schalksmühle;9413,749406;22212,17625;1700,530076;;;;;;;;;
101;101.213;aoegzcqoc;;Bielefeld;20912,57809;4887,747451;5828,051818;;;;;;;;;
101;251.193;v;;Bischberg;10155,93064;3705,950658;2654,198226;;;;;;;;;
161;600.157;fmswvzqyhwrcaddg;;Olsberg;1229,18688;9327,545408;8011,393891;;;;;;;;;
231;117.485;j;;Essen;7463,458244;16512,32351;8064,706044;;;;;;;;;
231;104.377;toldu;;Bad Homburg;16335,40073;9834,228322;10607,91518;;;;;;;;;
331;335.023;is;;Lemgo;330,7210898;907,4707167;3017,918498;;;;;;;;;
161;331.748;o;;Dortmund;94,49480114;225,86948;8331,63955;;;;;;;;;
101;109.443;kfolyfayyuhqfjnqeo;;Minden;86,64393727;8724,114639;7250,788913;;;;;;;;;
231;601.797;yywtuffwwwfioo;;Adlkofen;1311,531014;6123,303911;2567,566023;;;;;;;;;
101;112.157;ebwivezpdme;;Magdeburg;2239,966776;9401,160708;2709,674389;;;;;;;;;
103;110.083;bnqr;;Nettersheim;5400,61574;12163,55163;2680,874581;;;;;;;;;
231;100.376;gwybxodtfuseqminx;;Berlin;1254,838776;5574,84608;1114,764454;;;;;;;;;
101;113.639;wyayej;;Rosbach;12599,60443;12621,13122;2370,477677;;;;;;;;;
101;119.841;gtlaqrbdtnpdqvsh;;Münster;6794,031263;2248,478378;5824,568789;;;;;;;;;
231;102.233;lgjfsmqzi;;Trier;788,654426;126,1943409;5388,888226;;;;;;;;;
201;400.026;ht;;Dortmund;7423,740232;8204,72245;2612,21776;;;;;;;;;
101;101.624;raoznmjjqfucjvs;;Ingolstadt;1746,340441;10791,82436;4620,05231;;;;;;;;;
101;123.065;aahmesowqdeircsa;;Wesseling;17928,3001;18746,86262;4949,619128;;;;;;;;;
101;111.520;jffguksr;;Eschwege;1104,905326;2265,512501;8656,863311;;;;;;;;;
101;115.911;ri;;Schwarzenberg;12469,18383;14859,05044;5271,699449;;;;;;;;;
241;412.366;a;;Quedlinburg;3495,803194;586,3004972;5199,380783;;;;;;;;;
201;110.344;xdcsswz;;Wolfsburg;8071,909626;15624,66571;2258,850089;;;;;;;;;
241;102.411;ifabs;;Bad Bentheim;1777,231719;652,7779001;4618,592461;;;;;;;;;
161;141.366;gfi;;Halle;2510,911877;4432,597397;3254,192095;;;;;;;;;
231;118.892;ppn;;Hamburg;94,43947434;17188,65893;264,5116779;;;;;;;;;
233;117.485;j;;Langwedel;60106,14314;28131,51914;7650,455658;;;;;;;;;
101;113.495;je;;Frankfurt;10767,87237;23715,18845;9272,549482;;;;;;;;;
161;331.518;ljxfttoahu;;Halle;15529,74751;15347,61553;7372,349327;;;;;;;;;
241;130.166;y;;Mering;1688,1761;12077,1532;8406,518793;;;;;;;;;
161;331.519;qiturxpzbkss;;Essen;9522,234625;101,0460776;5207,668531;;;;;;;;;
231;106.310;dgiqzjkbbwr;;Tbilisi;19573,71964;9107,209451;9036,71461;;;;;;;;;
241;331.520;sehvhencnxxbs;;Bad Windsheim;781,3271756;2036,518959;2150,21915;;;;;;;;;
103;600.572;dovty;;München;7075,401428;2052,659975;2398,044973;;;;;;;;;
103;130.166;y;;Teutschenthal;2754,363542;9354,34116;4354,192001;;;;;;;;;
101;132.044;bxpitaulfxpv;;Hannover;10905,07753;26732,51969;11435,63948;;;;;;;;;
101;108.603;pwgavnocjogv;;Bodenfelde;116,1359656;4180,979563;4465,266544;;;;;;;;;
234;133.033;vaasnxrvnunjt;;Langen;1678,700339;6214,164928;6699,203379;;;;;;;;;
101;252.669;m;;Värmdö;10365,58305;15898,58736;8095,158583;;;;;;;;;
201;107.507;wggbidaukfiok;;Rheinbreitbach;8675,491752;2642,768635;6553,122886;;;;;;;;;
331;331.517;sbxd;;Hannover;997,962935;10947,84504;8140,239465;;;;;;;;;
101;251.482;zdrajpdthuya;;Oberursel;12439,06847;15920,92506;8364,013472;;;;;;;;;
233;109.505;zkoqvdcvbsiou;;Schwäbisch-Hall;4054,722318;35079,45448;5393,618014;;;;;;;;;
233;132.292;vcftnyn;;Köthen;1196,154041;9027,21034;4980,784675;;;;;;;;;
101;131.299;vakcptftzsrjja;;Ritka;7980,641647;6179,86796;4955,683154;;;;;;;;;
101;107.746;jykrmi;;Traunstein;5034,396348;13095,10458;5949,061912;;;;;;;;;
101;250.652;qvkuq;;Altenkirchen;4258,785766;52,04216985;7927,168738;;;;;;;;;
161;109.443;kfolyfayyuhqfjnqeo;;Buxtehude;360,4682283;731,1722933;2741,287312;;;;;;;;;
101;116.722;wndbucs;;Düsseldorf;442,5203647;3609,431469;82,35585987;;;;;;;;;
101;211.807;ddpcb;;Herborn;12589,11652;15686,48114;7472,605576;;;;;;;;;
121;107.507;wggbidaukfiok;;Hamburg;3257,921851;20100,19281;7886,781239;;;;;;;;;
331;331.611;fsosqayyufvclmwj;;Aying;849,6417383;2948,437304;4086,880374;;;;;;;;;
101;200.011;lauiplw;;Bendorf;2475,612496;2538,777362;1938,731182;;;;;;;;;
101;108.009;dyjbfirwqdadngswv;;Leverkusen;10037,14166;8148,712832;3905,989271;;;;;;;;;
101;114.175;z;;Stuttgart;12067,17655;6225,895503;3226,841191;;;;;;;;;
233;120.279;dcvzundnqcjviduqv;;Wunstorf;1662,381476;27891,93368;3626,718941;;;;;;;;;
331;339.046;lebigcw;;Saal an der Donau;263,1174428;8199,435842;6712,851909;;;;;;;;;
101;115.146;uzabzvfaipedj;;Kaltenkirchen;9150,354684;6585,36732;6017,627687;;;;;;;;;
121;331.608;c;;Marl;17374,24766;4670,040561;2378,585101;;;;;;;;;
231;100.039;tpfuwbnrx;;Bochum;4785,895105;10880,0542;2517,848495;;;;;;;;;
231;112.157;ebwivezpdme;;Witten;4738,769088;8981,859069;5705,190545;;;;;;;;;
101;132.045;itpjsvollparabq;;Ebsdorfergrund;15786,75763;3358,445607;1135,457469;;;;;;;;;
101;104.556;ew;;Neustadt;14008,17388;5899,691748;9988,48274;;;;;;;;;
101;132.958;yj;;Göttingen;846,5044232;436,1803571;5424,764927;;;;;;;;;
161;610.675;kvoop;;Niederfischbach;3981,404659;1350,972265;3705,063213;;;;;;;;;
231;100.983;foefluli;;Leiningen-Sauerbr.;17952,41936;8553,979842;3083,374033;;;;;;;;;
231;112.016;kczpvmcmfvcvyt;;Helsingborg;2976,306512;5638,710169;6364,365059;;;;;;;;;
101;111.041;mnjqnwuiowgodbbw;;Mülheim an der Ruhr;20005,83804;40137,87634;5243,147772;;;;;;;;;
101;131.765;ublhdqm;;Arnsberg;11120,1491;13549,39074;5037,074028;;;;;;;;;
121;130.166;y;;Kassel;15677,36974;5599,459911;5863,48093;;;;;;;;;
241;121.798;wugggthisizk;;Municipiul Bucuresti Sector 6;1026,699304;18,670293;3846,150089;;;;;;;;;
101;210.540;wuoztsinnhdjt;;Dortmund;1184,369176;8223,037294;1737,481606;;;;;;;;;
231;104.268;wwnxzhmtmsokjs;;Kastl;653,437561;16740,75868;3337,737925;;;;;;;;;
103;111.063;utmmrvwexunz;;Bogen;6454,809037;13349,18569;6208,787852;;;;;;;;;
151;130.166;y;;Schotten;4513,187069;7513,39226;10153,39028;;;;;;;;;
101;111.700;puqmqjai;;Bochum;11966,55084;13082,2613;3356,294355;;;;;;;;;
161;405.576;qobnoqhbtstrzixl;;Berlin;7413,562325;2919,965424;5618,387384;;;;;;;;;
233;130.978;phfzaxrq;;Würzburg;84820,76609;25746,44792;10973,25175;;;;;;;;;
161;331.621;gbivajjlptfwa;;Flintbek;10211,24177;1689,83164;732,9894686;;;;;;;;;
101;411.831;awhohok;;Düren;16699,07718;3619,229677;11038,83504;;;;;;;;;
231;125.993;jybpk;;Weroth;16512,45033;8490,955564;6622,343668;;;;;;;;;
231;106.966;sqbpnkwaax;;Armsheim;1108,699551;1934,820668;7298,138158;;;;;;;;;
233;111.150;ymwacnwypqn;;Straubing;984,6276298;710,4791806;9204,779518;;;;;;;;;
231;116.884;vwofmghfcegspxnj;;Essen;5045,861691;6074,00302;4875,005878;;;;;;;;;
103;132.916;zrtktzz;;Neumünster;164,3459391;2046,824758;8419,957586;;;;;;;;;
234;331.554;ddklmtgh;;Augsburg;9168,435374;16201,61861;2185,080653;;;;;;;;;
231;113.575;hvzwcrpqfyhvyxwa;;Hamm;10226,57;5652,363688;691,3425052;;;;;;;;;
233;131.224;ystgzaxnaufi;;Erl;1109,47531;3707,513273;3435,792818;;;;;;;;;
231;132.905;fudiwmroklnfqtmrrz;;Barnstorf;1640,709038;6901,88249;2766,384955;;;;;;;;;
141;331.063;hblzbmkhul;;Hamburg;17297,39613;1494,977532;11645,23988;;;;;;;;;
323;110.344;xdcsswz;;Olpe;21523,42605;5195,822082;2919,855829;;;;;;;;;
101;252.553;mstpif;;Wielenbach;7256,324784;12938,91506;3503,560731;;;;;;;;;
233;116.357;fzrvq;;Leipzig;2927,194459;51039,77786;3436,348933;;;;;;;;;
101;112.837;pl;;Böhl-Iggelheim;8497,9;5367,385445;10223,70507;;;;;;;;;
231;115.008;dtzlqide;;Voerde;13331,68988;11274,97221;2220,33033;;;;;;;;;
231;107.447;wjkhpxggqpfhyqj;;Meschede;6919,366429;2030,321156;2335,1081;;;;;;;;;
231;120.363;wkp;;Donaustauf;7409,343091;767,8742242;3688,351215;;;;;;;;;
231;331.343;uzxceeeinlhllxte;;Erlau;2997,679597;929,7526637;9956,286615;;;;;;;;;
111;331.703;fnqvpsrjcs;;Lotte;5180,465426;11401,72906;793,9146003;;;;;;;;;
234;331.611;fsosqayyufvclmwj;;Dortmund;61,0555332;21345,12281;6444,491757;;;;;;;;;
231;120.831;rivqoyuqeogyu;;Helsingborg;6412,586006;12833,97575;5021,805257;;;;;;;;;
231;131.778;ivahlyqsjjllgzhddl;;Lampertheim;5129,554529;5658,159009;4697,496454;;;;;;;;;
101;103.229;esupn;;Burgstädt;19934,14565;7228,971175;1124,901084;;;;;;;;;
101;111.815;xsqv;;Sibenik;9102,782678;8084,057937;716,165468;;;;;;;;;
231;100.911;gvuz;;Regensburg;2327,607904;6941,795925;6220,4465;;;;;;;;;
101;120.114;dt;;Nordstemmen;69,86582334;3598,188902;7223,271346;;;;;;;;;
224;119.254;bpmxrryq;;Hausham;678,5008971;2870,237582;1355,522552;;;;;;;;;
121;331.375;qtfmif;;Halle;1090,605759;3280,667137;1239,023974;;;;;;;;;
161;404.730;uywwanumxpg;;Heidenheim;5461,661192;13028,15947;5370,102638;;;;;;;;;
101;117.414;rlvugpirohtfjryxn;;Hof;1727,352636;18976,58675;6410,347564;;;;;;;;;
224;331.343;uzxceeeinlhllxte;;Rosbach;3102,388073;353,9248386;8494,703045;;;;;;;;;
231;115.146;uzabzvfaipedj;;Kassel;7697,106318;5055,134806;9302,311508;;;;;;;;;
233;331.704;hegbbtko;;Linden;14438,14711;7214,241779;5099,021843;;;;;;;;;
121;331.610;wdqdxfydcoilktujwq;;Hof;6588,414614;3480,965229;3535,455098;;;;;;;;;
101;125.392;dgkzs;;Rosbach;10174,38691;1362,184835;1084,872561;;;;;;;;;
231;103.451;znpmiecvrrlrdxc;;Ho Chi Min City;5101,645506;2515,087431;2117,768541;;;;;;;;;
102;111.567;wtelruysnat;;Wolfratshausen;18422,03673;2409,440341;7447,898967;;;;;;;;;
101;115.153;uzahquzhp;;Nürnberg;12320,20973;17382,42509;3743,576998;;;;;;;;;
101;132.327;fqnfxcqamextvcphjf;;Weinheim;3731,407425;67,28828719;1280,929751;;;;;;;;;
231;116.065;xjqzrwiliaipijv;;Hamburg;816,804017;2642,668505;884,6240926;;;;;;;;;
231;100.457;ajgjksjwhg;;Mülheim an der Ruhr;6783,183389;14158,23504;6560,389199;;;;;;;;;
231;250.260;wqgoqntcga;;Amberg;17971,90975;578,9274728;1819,094274;;;;;;;;;
331;331.642;hmiahkx;;Lübeck;7630,350024;6734,890932;6676,121762;;;;;;;;;
101;131.079;xwnaipx;;Friedland;13684,92222;8844,824038;2242,658639;;;;;;;;;
103;113.216;wwejnjywligtyg;;Villingen-Schwenningen;11206,5994;5858,554137;4770,589271;;;;;;;;;
121;103.070;pgzcwpyudsyn;;Mansfeld;9253,430484;8763,528814;170,1103179;;;;;;;;;
101;251.993;#NV;;Buchholz;7212,731194;271,391986;4907,543163;;;;;;;;;
161;100.943;iokykfixeuxjcrlj;;Duisburg;3611,566185;216,3385565;8456,403601;;;;;;;;;
131;102.917;zeebygqyqbwliusew;;München;3212,891558;11854,33752;5316,207852;;;;;;;;;
161;104.003;uggdqfanymbs;;Stuttgart;11595,50413;8436,90874;10589,34548;;;;;;;;;
231;113.701;gsbiaopndarljcbb;;Karlsruhe;597,2172997;2198,86559;6919,960851;;;;;;;;;
101;116.900;djjlv;;Forstinning;12272,80347;12742,83775;3840,619444;;;;;;;;;
101;101.905;vdvyq;;Öhringen;7424,045249;14443,10696;9304,130411;;;;;;;;;
231;112.039;q;;Norderstedt;2141,303926;14655,18457;2030,646002;;;;;;;;;
231;331.331;byfzukanmk;;Leipzig;297,0000093;1569,805263;1111,720393;;;;;;;;;
231;113.729;yltlj;;Hamburg;1201,165684;2161,982195;3491,397548;;;;;;;;;
231;119.152;jowptdowczabw;;Hürth;6870,188992;7086,663101;5896,434107;;;;;;;;;
101;132.518;qa;;Hamburg;175,925443;6851,239028;3301,499803;;;;;;;;;
231;331.063;hblzbmkhul;;Oldenburg;2220,286291;4071,958783;5401,322427;;;;;;;;;
